,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
492,Nosy Varika,MG,75.74,-20.58,48.53,100,80,8.86
493,Manicore,BR,79.97,-5.81,-61.3,87,44,2.15
494,Amahai,ID,84.56,-3.31,129,100,56,10.87
495,Dunedin,NZ,61,-45.87,170.5,65,20,10
496,Altamirano,AR,57.54,-35.36,-58.15,87,0,4.7
498,San Isidro,PH,86.45,16.74,121.63,59,0,4.27
499,Kavaratti,IN,82.94,10.57,72.64,100,68,3.94
500,Kavieng,PG,83.3,-2.57,150.8,100,12,10.65
503,Yavaros,MX,67.14,26.7,-109.52,66,20,1.99
504,Areosa,PT,54.63,41.72,-8.86,19,0,11.41
505,Dharchula,IN,42.08,29.85,80.53,64,0,1.59
507,China,MX,70.61,25.71,-99.24,65,8,17.69
508,Mapiripan,CO,78.44,2.89,-72.13,82,80,2.93
509,Namibe,AO,77.99,-15.19,12.15,99,0,8.19
510,Selestat,FR,35.24,48.27,7.45,80,0,4.7
512,Beauvais,FR,43.66,49.44,2.09,81,90,5.82
513,Nueva Concepcion,GT,73.58,14.2,-91.3,43,0,3.71
514,Balaguer,ES,39.47,41.79,0.81,86,0,9.17
515,Kaspiyskiy,RU,32,45.39,47.37,100,0,4.72
516,Buin,CL,59.13,-33.73,-70.74,82,0,11.41
517,Valparaiso,US,48.78,41.47,-87.06,45,90,8.05
519,Port Pirie,AU,84.2,-33.18,138.01,20,0,11.41
520,Epe,DE,45.95,52.18,7.04,87,75,2.24
521,Talcahuano,CL,55.4,-36.72,-73.12,87,90,5.82
522,Hami,CN,50.9,42.84,93.51,45,64,6.51
523,Mestia,GE,14.09,43.04,42.73,89,48,1.59
525,Kruisfontein,ZA,62.42,-34,24.73,77,12,12.77
526,Risor,NO,34,58.72,9.23,87,0,7.63
527,Matagami,NG,67.73,9.67,8.4,32,0,7.29
528,Ladario,PT,50.86,40.7,-7.74,45,0,4
529,Saint-Augustin,FR,41.47,44.83,-0.61,75,0,4.7
530,Porto Tolle,IT,41.31,44.95,12.32,95,0,9.17
531,Waipawa,NZ,61,-39.94,176.59,72,36,8.01
532,Matay,EG,45.14,28.42,30.79,74,12,2.71
534,Kulhudhuffushi,MV,83.84,6.62,73.07,100,0,4.5
535,Kayes,ML,79.34,14.44,-11.44,45,0,6.62
536,Mizan Teferi,ET,60.62,6.99,35.58,91,92,2.59
537,Excelsior Springs,US,62.69,39.34,-94.23,45,1,12.75
538,Guantanamo,BO,73.49,-16.14,-62.05,67,0,7.63
539,Pryazha,RU,28.4,61.69,33.62,63,48,11.18
540,Lucea,JM,78.91,18.44,-78.17,78,20,2.24
541,Trairi,BR,80.78,-3.28,-39.27,100,88,6.51
542,Itaituba,BR,80.42,-4.26,-55.99,76,0,4.05
545,Asyut,EG,46.49,27.18,31.19,74,0,2.82
546,Makurdi,NG,73.22,7.73,8.54,70,0,1.59
548,Kon Tum,VN,84.56,14.36,108,44,0,2.93
549,Santa Cruz,US,52.95,36.97,-122.03,76,75,3.36
550,Superior,US,54.77,39.95,-105.17,37,1,3.71
551,Kondol,RU,31.64,52.82,45.06,97,68,11.43
552,Ajdabiya,LY,68.27,30.75,20.22,31,64,15.35
554,Caraballeda,VE,75.83,10.61,-66.85,100,64,14
555,Hay River,CA,32,60.82,-115.79,67,75,4.7
556,Nador,MA,59,35.17,-2.93,72,92,12.75
557,Burnie,AU,67.55,-41.05,145.91,73,20,11.99
558,Loding,DE,37.24,48.05,12.68,86,90,3.36
559,Tarrafal,CV,68,15.28,-23.77,68,40,13.87
560,Pimentel,BR,73.04,-3.7,-45.5,98,68,3.49
562,La Rioja,AR,61.25,-29.41,-66.86,87,80,2.71
563,Yulara,AU,84.2,-25.24,130.99,14,0,5.82
564,Acucena,BR,69.08,-19.07,-42.55,75,80,3.94
565,Ponta Delgada,PT,55.17,37.73,-25.67,76,20,12.75
567,Galle,US,62.38,29.74,-97.91,77,1,18.34
568,Moroto,UG,62.87,2.53,34.66,98,68,2.04
569,Novopokrovka,RU,26.69,45.85,134.51,42,0,7.85
570,Palmer,AU,81.3,-34.85,139.16,24,0,13.87
571,Lakes Entrance,AU,79.5,-37.88,147.99,36,0,4.16
572,Svendborg,DK,45.77,55.06,10.61,93,92,9.17
573,Lazaro Cardenas,MX,74.26,28.39,-105.62,16,40,5.82
574,Conde,BR,79.52,-11.81,-37.61,93,92,6.4
575,Braganca,BR,76.46,-1.05,-46.77,96,92,2.71
576,Kirksville,US,62.74,40.19,-92.58,48,90,16.11
577,Marechal Candido Rondon,BR,70.43,-24.56,-54.06,89,0,4.61
578,Tateyama,JP,49.86,36.66,137.31,65,75,2.24
580,Staraya Poltavka,RU,37.85,50.48,46.48,98,92,7.4
581,Bathsheba,BB,78.8,13.22,-59.52,74,40,17.22
582,Latung,ID,79.52,-8.45,120.42,86,80,1.48
583,Caravelas,BR,82.58,-17.73,-39.27,100,80,16.91
584,Humaita,AR,54.9,-24.93,-65.37,100,90,3.36
585,Comodoro Rivadavia,AR,75.2,-45.87,-67.48,33,0,6.93
586,Yueyang,CN,61.97,29.36,113.12,95,92,4.38
587,Miquelon,PM,25.34,47.1,-56.38,100,0,2.93
588,Noumea,NC,87.8,-22.28,166.46,52,20,13.87
589,Qasigiannguit,GL,8.6,68.82,-51.19,65,32,13.87
590,Miraflores,CO,52.07,5.2,-73.14,100,68,1.7
591,Adrar,DZ,64.4,27.87,-0.29,55,0,5.82
592,Kokstad,ZA,50.81,-30.55,29.42,64,0,3.27
593,Plettenberg Bay,ZA,65.39,-34.05,23.37,95,32,12.33
594,Taltal,CL,55.49,-25.41,-70.49,86,0,2.93
595,Chunhuhub,MX,77.54,19.59,-88.59,33,0,5.95
596,Goundam,ML,76.46,16.42,-3.66,63,12,10.09
597,Inhambane,MZ,73.85,-23.87,35.38,99,0,6.96
599,Hays,US,61.84,38.88,-99.33,72,1,10.29
